Category: All categories

Region,coming out: (2005)
North Dakota,100
Rhode Island,77
Arkansas,61
Alaska,60
Kansas,59
Michigan,59
Mississippi,57
Utah,57
Wisconsin,55
New York,54
Louisiana,54
Oregon,53
Connecticut,53
Massachusetts,53
South Dakota,52
Montana,52
New Jersey,52
Nebraska,52
Illinois,51
New Hampshire,51
Iowa,51
North Carolina,51
South Carolina,51
Maine,50
Tennessee,50
Georgia,50
Pennsylvania,49
Florida,48
Arizona,47
Texas,47
Alabama,46
District of Columbia,46
Ohio,45
Maryland,44
Indiana,43
Virginia,43
Wyoming,43
Minnesota,41
California,41
New Mexico,41
Hawaii,40
Idaho,39
Kentucky,39
Missouri,39
Washington,38
Nevada,37
Vermont,36
Delaware,35
Oklahoma,34
Colorado,33
West Virginia,30
