Category: All categories

Region,coming out: (2014)
West Virginia,100
Indiana,96
Louisiana,94
North Dakota,94
Pennsylvania,93
Georgia,92
Illinois,92
Arkansas,89
Mississippi,88
Texas,87
Rhode Island,87
Tennessee,87
South Dakota,86
Missouri,86
Ohio,86
Wyoming,86
Idaho,85
North Carolina,85
Arizona,84
Utah,84
Michigan,84
Oklahoma,84
Kentucky,83
Wisconsin,83
New York,82
Kansas,82
South Carolina,82
Florida,82
New Jersey,82
Nevada,81
New Hampshire,80
Colorado,80
Delaware,79
Maine,79
Montana,79
Minnesota,78
Iowa,78
Alabama,78
Alaska,77
New Mexico,77
California,77
Nebraska,76
Massachusetts,75
Maryland,74
Vermont,74
Washington,71
Hawaii,71
Connecticut,70
Virginia,62
District of Columbia,57
Oregon,44
