Category: All categories

Region,coming out: (2012)
Mississippi,100
West Virginia,99
Indiana,93
New Jersey,93
North Dakota,92
Arkansas,89
Pennsylvania,89
Wyoming,88
Illinois,88
Wisconsin,88
Texas,87
Rhode Island,87
Delaware,87
Michigan,86
Nevada,86
New York,86
South Dakota,84
Tennessee,84
Louisiana,84
Arizona,83
Ohio,82
Georgia,82
Missouri,82
Maryland,82
Virginia,81
Idaho,81
Utah,81
New Hampshire,81
North Carolina,80
Florida,80
Oklahoma,80
Kentucky,78
Kansas,78
Alaska,77
Nebraska,77
Minnesota,77
Maine,77
Massachusetts,76
Connecticut,76
Alabama,76
California,75
Iowa,75
Montana,74
South Carolina,73
Washington,73
Hawaii,72
New Mexico,72
Vermont,71
Colorado,66
District of Columbia,65
Oregon,63
