Category: All categories

Region,coming out: (2016)
Indiana,100
West Virginia,98
Ohio,94
Kentucky,93
Wyoming,93
Alabama,93
Michigan,91
Oklahoma,90
Utah,89
Tennessee,89
Louisiana,89
Mississippi,88
Texas,88
North Dakota,87
Pennsylvania,87
South Carolina,85
Illinois,85
Missouri,84
Florida,84
Rhode Island,84
Alaska,83
Nevada,83
New Jersey,83
Arizona,83
New Hampshire,82
Wisconsin,82
Georgia,82
Connecticut,82
Arkansas,81
South Dakota,81
North Carolina,80
Iowa,79
Idaho,79
Delaware,79
Virginia,79
California,78
Maine,78
New Mexico,78
New York,77
Minnesota,75
Kansas,73
Nebraska,73
Maryland,72
Montana,72
Washington,72
Colorado,72
Massachusetts,71
Vermont,69
Hawaii,68
Oregon,66
District of Columbia,63
