Category: All categories

Region,Antisocial personality: (2019)
Montana,100
West Virginia,100
North Dakota,98
Arkansas,93
Rhode Island,87
New Hampshire,82
Mississippi,82
Maine,76
Delaware,73
Minnesota,73
Connecticut,70
Missouri,70
Indiana,70
Iowa,68
South Dakota,68
Kansas,68
Maryland,67
Massachusetts,67
Michigan,65
Oregon,62
Utah,62
North Carolina,60
Pennsylvania,60
Wisconsin,60
New Jersey,60
Virginia,59
New Mexico,59
Alaska,
Ohio,59
Arizona,57
Kentucky,57
Louisiana,56
Illinois,56
Georgia,56
Washington,56
South Carolina,54
Colorado,54
District of Columbia,
Florida,51
Nebraska,51
Nevada,51
Wyoming,
Tennessee,51
Vermont,
New York,48
Hawaii,48
California,46
Idaho,46
Texas,46
Oklahoma,45
Alabama,43
