Category: All categories

Region,Antisocial personality: (2014)
South Dakota,100
New Hampshire,84
Alaska,
New Mexico,74
Rhode Island,73
North Dakota,69
Indiana,68
Ohio,68
Missouri,68
Wisconsin,66
North Carolina,65
Wyoming,
Idaho,62
Mississippi,62
Connecticut,61
Massachusetts,60
West Virginia,60
Minnesota,60
Pennsylvania,57
Arizona,57
Washington,57
Utah,57
Colorado,57
Illinois,57
Nebraska,56
Louisiana,56
Alabama,56
Michigan,56
Nevada,56
Maryland,56
Kansas,54
New Jersey,53
Florida,53
Oklahoma,52
Arkansas,50
South Carolina,50
Maine,49
Kentucky,49
Tennessee,49
Georgia,48
New York,46
Hawaii,45
Iowa,45
California,44
District of Columbia,
Texas,42
Delaware,41
Virginia,38
Oregon,30
Montana,22
Vermont,
