Category: All categories

Region,Antisocial personality: (2015)
Maine,100
Mississippi,87
West Virginia,84
New Hampshire,80
Indiana,71
Arkansas,71
Delaware,71
Connecticut,70
Utah,69
Ohio,65
Iowa,62
Alaska,
North Carolina,60
Minnesota,60
Massachusetts,58
Rhode Island,58
Alabama,58
North Dakota,58
New Mexico,57
Vermont,
Idaho,55
Pennsylvania,55
Kentucky,55
Nebraska,55
Maryland,55
Wisconsin,55
Colorado,53
Missouri,52
Michigan,51
New Jersey,51
Louisiana,50
Illinois,50
Georgia,48
South Carolina,47
Arizona,47
Florida,47
Kansas,46
New York,44
California,43
Nevada,43
Oregon,43
Oklahoma,43
South Dakota,42
Washington,42
District of Columbia,
Tennessee,37
Texas,35
Montana,34
Hawaii,34
Virginia,33
Wyoming,
