Category: All categories

Region,Antisocial personality: (2016)
New Hampshire,100
Vermont,
Maine,97
West Virginia,95
Connecticut,93
Indiana,91
South Dakota,89
Minnesota,89
Kansas,85
North Dakota,83
Iowa,83
Montana,79
North Carolina,79
New Mexico,77
Mississippi,77
Pennsylvania,75
Missouri,73
Virginia,73
Ohio,73
Wisconsin,71
Alaska,
Maryland,71
Utah,71
Washington,71
Arkansas,71
Michigan,69
Kentucky,69
Rhode Island,69
Oklahoma,69
Alabama,69
New Jersey,67
Massachusetts,67
South Carolina,67
Louisiana,65
Florida,63
Tennessee,63
Illinois,61
Colorado,61
District of Columbia,
Georgia,57
Arizona,57
Oregon,55
New York,55
California,53
Nebraska,53
Idaho,53
Nevada,53
Texas,48
Hawaii,36
Delaware,34
Wyoming,
