Category: All categories

Region,Histrionic: (2005)
New Mexico,100
West Virginia,88
Arkansas,81
Vermont,81
South Carolina,67
Maine,56
Rhode Island,50
Arizona,48
Connecticut,46
Minnesota,45
Nebraska,43
Missouri,43
Texas,41
Tennessee,41
Massachusetts,40
New York,37
Kentucky,36
Virginia,34
Illinois,34
Indiana,33
Pennsylvania,33
Kansas,30
Iowa,29
California,25
District of Columbia,24
North Carolina,24
Florida,24
Georgia,24
Michigan,21
Alabama,21
Oklahoma,20
Ohio,20
Colorado,19
Washington,19
New Jersey,19
Oregon,18
Maryland,13
Wisconsin,10
Alaska,
Delaware,
Hawaii,
Idaho,
Louisiana,
Mississippi,
Montana,
North Dakota,
New Hampshire,
Nevada,
South Dakota,
Utah,
Wyoming,
