Category: All categories

Region,Histrionic: (2011)
West Virginia,100
Arkansas,95
Alabama,94
Alaska,90
North Dakota,88
South Dakota,81
Mississippi,80
South Carolina,78
New Hampshire,77
Ohio,76
Minnesota,76
Tennessee,74
New Mexico,74
Oregon,73
Maryland,73
Utah,71
Pennsylvania,71
Montana,71
Kentucky,70
Indiana,70
Oklahoma,70
Arizona,67
Virginia,67
Wisconsin,67
North Carolina,66
Massachusetts,64
New York,64
Washington,64
Hawaii,64
Maine,63
Louisiana,63
Connecticut,63
Georgia,61
Nevada,61
Michigan,61
Delaware,61
Iowa,61
Illinois,60
Florida,60
District of Columbia,60
Rhode Island,60
Colorado,60
Vermont,60
Kansas,60
Texas,59
New Jersey,57
California,56
Missouri,54
Wyoming,47
Idaho,45
Nebraska,42
