Category: All categories

Region,abuse: (2016)
Pennsylvania,100
Iowa,93
Oregon,88
Vermont,88
Maine,85
West Virginia,85
Missouri,83
Alaska,82
Wyoming,82
Kentucky,82
Connecticut,77
Maryland,77
South Dakota,76
North Dakota,75
New Mexico,75
Delaware,75
North Carolina,73
Massachusetts,73
Oklahoma,73
Arizona,72
Montana,72
Arkansas,72
New Hampshire,72
Indiana,72
Virginia,71
Minnesota,71
Tennessee,71
Nebraska,71
Rhode Island,71
Kansas,70
Utah,70
New York,70
Wisconsin,69
Alabama,69
Mississippi,68
Colorado,68
New Jersey,68
District of Columbia,67
Michigan,67
Ohio,67
South Carolina,67
California,67
Idaho,67
Louisiana,67
Illinois,66
Florida,66
Nevada,63
Hawaii,63
Washington,61
Texas,61
Georgia,60
