Category: All categories

Region,abuse: (2009)
Iowa,100
West Virginia,94
North Dakota,89
Wyoming,85
Kentucky,81
Delaware,80
Arkansas,80
Idaho,77
Maine,77
New Mexico,76
Pennsylvania,75
Michigan,74
Nebraska,74
Oklahoma,74
Alaska,72
South Dakota,72
Rhode Island,71
North Carolina,71
Kansas,71
Vermont,70
Montana,70
Utah,70
Missouri,70
Louisiana,69
Alabama,69
New Hampshire,68
Mississippi,67
Hawaii,67
New York,66
Maryland,66
Ohio,66
South Carolina,66
Indiana,66
Florida,64
Minnesota,62
Illinois,62
Wisconsin,61
Tennessee,61
Connecticut,61
Oregon,60
Massachusetts,59
Texas,59
Georgia,58
New Jersey,58
Colorado,56
Arizona,56
District of Columbia,55
Washington,55
Nevada,52
California,44
Virginia,35
