Category: All categories

Region,abuse: (2015)
Pennsylvania,100
Iowa,95
Vermont,92
West Virginia,90
Maine,90
Delaware,86
Wyoming,83
Kentucky,82
New Mexico,82
Alaska,81
South Dakota,80
Maryland,79
Wisconsin,79
Missouri,78
Indiana,78
North Carolina,78
Louisiana,78
North Dakota,78
New Hampshire,77
Massachusetts,77
Arkansas,76
Montana,76
Connecticut,75
Oklahoma,75
Minnesota,75
Utah,75
Michigan,74
Ohio,74
New Jersey,71
Rhode Island,71
Colorado,71
Alabama,70
Idaho,69
Tennessee,69
Arizona,69
South Carolina,69
Nebraska,68
Mississippi,67
Illinois,66
District of Columbia,66
Florida,66
Hawaii,66
Kansas,64
California,63
Nevada,63
New York,63
Washington,62
Texas,60
Oregon,60
Georgia,59
Virginia,51
