Category: All categories

Region,abuse: (2017)
Iowa,100
Pennsylvania,99
Oregon,90
Vermont,88
Kentucky,85
West Virginia,83
Alaska,81
Maryland,81
Kansas,80
Maine,80
Oklahoma,79
Delaware,79
Wyoming,78
Nebraska,78
Missouri,77
Arkansas,77
Louisiana,76
Utah,76
North Dakota,76
South Dakota,75
Colorado,75
Connecticut,75
New Mexico,75
North Carolina,75
Virginia,74
Tennessee,74
Minnesota,74
Indiana,74
Montana,73
Michigan,72
Massachusetts,72
New Hampshire,72
New York,71
District of Columbia,71
New Jersey,70
Wisconsin,70
Rhode Island,70
Ohio,69
Florida,68
Arizona,68
Alabama,68
Illinois,68
Nevada,67
Hawaii,67
Idaho,67
Washington,66
South Carolina,64
California,64
Mississippi,63
Texas,62
Georgia,58
