Category: All categories

Region,abuse: (2005)
South Dakota,100
Kentucky,98
Iowa,96
North Dakota,92
Alaska,90
Arkansas,89
Maine,85
West Virginia,85
Nebraska,78
Montana,78
New Mexico,78
Wyoming,76
Vermont,75
Mississippi,74
Oklahoma,72
Indiana,71
Kansas,71
Idaho,70
Missouri,70
Hawaii,70
Utah,69
Louisiana,68
Michigan,68
South Carolina,68
Minnesota,66
Rhode Island,63
Maryland,63
New Hampshire,63
Oregon,62
Connecticut,62
Wisconsin,61
North Carolina,61
District of Columbia,61
Pennsylvania,61
Alabama,60
New York,60
Tennessee,60
Colorado,59
Ohio,58
Washington,56
Arizona,56
Delaware,55
Nevada,55
Virginia,54
Texas,53
Massachusetts,52
Illinois,52
Georgia,51
California,51
New Jersey,50
Florida,50
