Category: All categories

Region,abuse: (2013)
Vermont,100
Iowa,98
West Virginia,97
Delaware,95
Kentucky,94
Pennsylvania,94
Maine,93
Wyoming,92
South Dakota,91
Alaska,89
North Carolina,88
North Dakota,86
New Mexico,86
Arkansas,84
Maryland,83
Missouri,83
Michigan,82
Idaho,82
Indiana,81
Wisconsin,79
Connecticut,79
Montana,79
New Hampshire,79
Ohio,79
Rhode Island,78
Massachusetts,78
Minnesota,77
Tennessee,77
Oklahoma,76
Kansas,75
Virginia,75
Nebraska,74
Arizona,74
Hawaii,74
Alabama,73
Utah,73
New Jersey,73
Florida,73
District of Columbia,73
South Carolina,73
Washington,70
Colorado,70
Louisiana,69
Mississippi,69
Illinois,67
Texas,67
New York,66
Georgia,64
California,62
Nevada,60
Oregon,58
