Category: All categories

Region,abuse: (2021)
Iowa,100
Pennsylvania,95
Kentucky,94
Alaska,90
Vermont,87
Oregon,85
North Dakota,85
District of Columbia,82
West Virginia,81
Delaware,81
Maine,79
Connecticut,79
Missouri,78
Oklahoma,78
Louisiana,78
Maryland,77
Kansas,76
Florida,76
Arkansas,75
Massachusetts,75
Virginia,74
South Dakota,74
Rhode Island,74
New York,74
Washington,73
New Mexico,73
Tennessee,73
Wyoming,72
Indiana,72
Illinois,72
Michigan,72
Alabama,72
North Carolina,72
Minnesota,72
Montana,71
Wisconsin,71
Ohio,71
Arizona,71
California,71
Nebraska,71
Idaho,70
New Hampshire,69
Colorado,68
Utah,66
New Jersey,66
South Carolina,66
Texas,65
Hawaii,65
Georgia,63
Mississippi,63
Nevada,58
