Category: All categories

Region,Abusive parents: (2015)
Alabama,100
Maryland,97
Michigan,74
Missouri,68
Wisconsin,68
New Jersey,65
Ohio,64
Minnesota,64
Pennsylvania,60
Iowa,60
Kentucky,58
South Carolina,57
Indiana,56
North Carolina,55
Washington,55
Texas,53
Illinois,52
Florida,50
Arizona,49
California,49
New York,49
Oregon,48
Massachusetts,46
Georgia,46
Tennessee,45
Connecticut,40
Virginia,36
Utah,26
Colorado,25
Oklahoma,22
Alaska,
Montana,
Maine,
Louisiana,
Vermont,
New Hampshire,
South Dakota,
Arkansas,
Idaho,
Nebraska,
Nevada,
Rhode Island,
District of Columbia,
Kansas,
West Virginia,
Hawaii,
New Mexico,
Mississippi,
North Dakota,
Delaware,
Wyoming,
