Category: All categories

Region,Abusive parents: (2018)
Washington,100
North Carolina,98
Oregon,96
Utah,94
Pennsylvania,91
Minnesota,91
Massachusetts,88
Michigan,83
Arizona,83
Ohio,82
New Jersey,81
Maryland,81
Indiana,80
Missouri,80
Virginia,80
South Carolina,79
Colorado,75
Oklahoma,74
Kentucky,74
New York,74
Illinois,74
California,74
Alabama,72
Tennessee,68
Wisconsin,67
Connecticut,66
Texas,64
Georgia,62
Florida,56
Iowa,43
West Virginia,
Alaska,
Kansas,
Nevada,
Hawaii,
Rhode Island,
Montana,
New Mexico,
Arkansas,
Vermont,
New Hampshire,
Nebraska,
Maine,
Mississippi,
Delaware,
District of Columbia,
Louisiana,
South Dakota,
North Dakota,
Idaho,
Wyoming,
