Category: All categories

Region,Abusive parents: (2014)
Connecticut,100
Maryland,97
Kentucky,89
Indiana,88
Tennessee,85
New Jersey,84
Ohio,82
Washington,82
Georgia,81
California,79
Utah,79
Minnesota,79
Illinois,77
Missouri,76
New York,73
North Carolina,70
Michigan,68
Alabama,67
Wisconsin,67
Pennsylvania,66
Virginia,66
Florida,65
Colorado,64
Iowa,63
Massachusetts,61
Texas,59
Arizona,51
Oklahoma,48
Oregon,37
South Carolina,32
Montana,
Arkansas,
Kansas,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Hawaii,
Idaho,
West Virginia,
Louisiana,
Rhode Island,
Mississippi,
District of Columbia,
Alaska,
South Dakota,
Vermont,
North Dakota,
Maine,
Delaware,
Wyoming,
