Category: All categories

Region,Abusive parents: (2013)
Kentucky,100
Michigan,91
Utah,86
Connecticut,85
Ohio,82
Pennsylvania,82
Indiana,79
Washington,76
New Jersey,72
Virginia,71
North Carolina,70
Maryland,69
California,68
Colorado,67
Tennessee,64
Massachusetts,63
Minnesota,62
Missouri,62
New York,59
Florida,58
Texas,58
Illinois,58
Oregon,57
Arizona,57
South Carolina,56
Wisconsin,55
Georgia,55
Alabama,45
Iowa,44
Oklahoma,29
North Dakota,
Delaware,
Wyoming,
Montana,
Vermont,
Nevada,
Hawaii,
New Hampshire,
Rhode Island,
Idaho,
Maine,
Nebraska,
Louisiana,
West Virginia,
New Mexico,
Mississippi,
Kansas,
District of Columbia,
South Dakota,
Arkansas,
Alaska,
