Category: All categories

Region,Abusive parents: (2010)
Oklahoma,100
Wisconsin,93
North Carolina,86
Illinois,83
Colorado,80
Missouri,78
Arizona,75
Utah,75
Pennsylvania,74
Indiana,74
Connecticut,73
Washington,72
New York,64
Florida,60
New Jersey,58
Minnesota,57
Massachusetts,52
Texas,51
Tennessee,50
Michigan,50
Kentucky,46
Maryland,40
California,29
Virginia,29
Georgia,24
Ohio,15
Montana,
Arkansas,
Nebraska,
Vermont,
Louisiana,
District of Columbia,
Alaska,
Nevada,
New Mexico,
New Hampshire,
North Dakota,
Oregon,
Mississippi,
Rhode Island,
South Carolina,
South Dakota,
Maine,
Kansas,
Idaho,
Iowa,
Hawaii,
Delaware,
Alabama,
West Virginia,
Wyoming,
