Category: All categories

Region,Abusive parents: (2019)
Oklahoma,100
Massachusetts,79
Washington,76
Maryland,69
Tennessee,66
Connecticut,66
Illinois,65
Minnesota,65
Pennsylvania,63
Michigan,63
Virginia,62
Ohio,61
Utah,61
North Carolina,59
Georgia,59
Indiana,59
Missouri,58
Alabama,57
California,57
Colorado,57
Texas,56
South Carolina,55
Arizona,52
New York,51
Florida,50
Oregon,49
Wisconsin,49
Iowa,49
Kentucky,46
New Jersey,45
Vermont,
South Dakota,
New Hampshire,
Montana,
Maine,
Idaho,
Alaska,
Wyoming,
New Mexico,
Kansas,
Rhode Island,
Hawaii,
Delaware,
Nebraska,
Arkansas,
Mississippi,
Louisiana,
Nevada,
West Virginia,
District of Columbia,
North Dakota,
