Category: All categories

Region,Abusive parents: (2017)
Connecticut,100
Minnesota,86
Oregon,75
Illinois,75
Indiana,73
New Jersey,70
Maryland,69
Missouri,69
Oklahoma,68
Wisconsin,67
Colorado,66
Iowa,65
Arizona,65
Washington,61
Virginia,59
New York,59
Florida,59
North Carolina,59
Pennsylvania,58
Massachusetts,58
Texas,57
California,57
Georgia,57
Michigan,55
Tennessee,55
Ohio,55
Alabama,52
Kentucky,52
Utah,48
South Carolina,45
Alaska,
Idaho,
Rhode Island,
Vermont,
Maine,
Arkansas,
South Dakota,
West Virginia,
Kansas,
Delaware,
New Hampshire,
Wyoming,
Mississippi,
Montana,
Louisiana,
New Mexico,
Nevada,
Nebraska,
Hawaii,
District of Columbia,
North Dakota,
