Category: All categories

Region,Abusive parents: (2021)
Massachusetts,100
Utah,97
Tennessee,95
Washington,89
Iowa,88
Indiana,86
Kentucky,86
South Carolina,85
Oregon,84
Pennsylvania,84
Ohio,84
California,82
Arizona,81
New Jersey,79
Maryland,79
Virginia,78
North Carolina,77
Illinois,76
Texas,75
Colorado,75
Connecticut,73
Florida,73
Wisconsin,72
Georgia,71
Michigan,71
Minnesota,67
Alabama,66
New York,65
Missouri,58
Oklahoma,46
South Dakota,
Alaska,
Kansas,
Idaho,
Maine,
Arkansas,
New Mexico,
Nebraska,
District of Columbia,
Mississippi,
Hawaii,
West Virginia,
New Hampshire,
Louisiana,
Montana,
Delaware,
Nevada,
Rhode Island,
North Dakota,
Vermont,
Wyoming,
