Category: All categories

Region,lesbian: (2007)
Kentucky,100
Ohio,95
Pennsylvania,95
Mississippi,95
South Dakota,94
Rhode Island,94
Michigan,94
Maine,93
Montana,93
New Hampshire,91
Wisconsin,91
Missouri,90
Wyoming,89
Connecticut,89
Nevada,89
Florida,88
New Jersey,88
Indiana,88
Idaho,88
Arkansas,86
Tennessee,85
North Carolina,83
Colorado,83
Kansas,83
Nebraska,83
New York,83
Illinois,82
Washington,82
Georgia,82
Massachusetts,82
West Virginia,81
Texas,81
Vermont,80
Alaska,79
Arizona,79
New Mexico,78
Delaware,77
Hawaii,77
Louisiana,77
South Carolina,76
Iowa,76
Alabama,75
Oklahoma,75
Virginia,74
Oregon,74
California,73
Maryland,73
Utah,72
District of Columbia,71
Minnesota,70
North Dakota,70
