Category: All categories

Region,lesbian: (2011)
Mississippi,100
Georgia,94
West Virginia,94
Texas,92
Kentucky,92
Arkansas,89
Virginia,88
South Carolina,88
Indiana,87
Florida,87
Louisiana,87
Alabama,87
Arizona,86
Utah,86
Ohio,85
New Hampshire,84
Michigan,84
Kansas,84
Missouri,84
Pennsylvania,83
Iowa,82
Tennessee,82
New Jersey,82
Oklahoma,82
New York,81
Colorado,80
North Carolina,79
Illinois,79
Maine,78
California,77
Nevada,77
North Dakota,77
Maryland,77
Idaho,76
Washington,76
Nebraska,76
Wyoming,76
New Mexico,76
Oregon,75
Alaska,75
Wisconsin,75
Montana,75
Delaware,75
Connecticut,74
Massachusetts,74
Vermont,73
Rhode Island,70
South Dakota,69
Minnesota,68
Hawaii,64
District of Columbia,57
