Category: All categories

Region,lesbian: (2008)
Maine,100
Connecticut,96
Florida,96
Mississippi,95
Tennessee,94
Pennsylvania,92
Indiana,92
Ohio,92
Kentucky,91
South Dakota,90
Missouri,90
Michigan,89
Wyoming,88
Arkansas,88
Idaho,88
Alaska,88
New Jersey,87
New Hampshire,87
West Virginia,86
Colorado,85
Rhode Island,84
Massachusetts,82
Illinois,82
Georgia,82
New York,82
North Carolina,82
Arizona,81
Maryland,81
Wisconsin,81
Vermont,81
Delaware,79
Louisiana,79
Nevada,79
Montana,79
Nebraska,79
Washington,79
New Mexico,78
Kansas,78
Texas,78
North Dakota,77
Hawaii,77
Oregon,77
Oklahoma,74
South Carolina,74
Alabama,73
California,71
Utah,70
Iowa,70
Virginia,69
Minnesota,67
District of Columbia,66
