Category: All categories

Region,lesbian: (2004)
Vermont,100
Wyoming,92
South Dakota,90
Rhode Island,89
Maine,88
Nebraska,86
Arkansas,86
Alaska,85
New Hampshire,84
North Dakota,82
Idaho,81
Wisconsin,81
Connecticut,78
Kentucky,77
Tennessee,77
Nevada,77
Missouri,77
Kansas,76
Iowa,76
Michigan,76
Utah,75
Pennsylvania,74
Oklahoma,73
Hawaii,73
Montana,72
West Virginia,71
New Mexico,71
Colorado,70
Washington,70
Louisiana,70
Arizona,70
Oregon,69
Minnesota,69
Florida,69
New York,68
California,68
Alabama,68
Indiana,68
Ohio,67
South Carolina,67
Illinois,67
Texas,66
North Carolina,66
Massachusetts,65
Mississippi,64
Delaware,63
New Jersey,61
Maryland,60
Georgia,59
Virginia,55
District of Columbia,49
