Category: All categories

Region,lesbian: (2017)
Mississippi,100
West Virginia,88
Louisiana,87
South Carolina,87
Arkansas,85
Oklahoma,84
Alabama,84
Indiana,83
Tennessee,81
Kentucky,81
Rhode Island,80
Missouri,80
Ohio,78
Georgia,77
Michigan,76
Delaware,74
Pennsylvania,73
Illinois,72
North Carolina,71
Nevada,71
Florida,71
New Mexico,70
Maine,70
Montana,69
New Hampshire,68
New Jersey,68
New York,68
Iowa,68
Kansas,68
Wisconsin,68
Texas,67
Arizona,67
Connecticut,67
Nebraska,67
Virginia,64
Washington,64
Alaska,63
Oregon,63
Massachusetts,62
Utah,62
Idaho,62
Minnesota,61
California,59
Maryland,59
Wyoming,59
Colorado,59
North Dakota,58
Vermont,57
District of Columbia,55
Hawaii,54
South Dakota,54
