Category: All categories

Region,lesbian: (2016)
Mississippi,100
West Virginia,92
Alabama,85
Tennessee,84
Kentucky,84
Louisiana,84
Oklahoma,83
Arkansas,82
South Carolina,82
Missouri,79
Georgia,77
Delaware,76
Ohio,76
Indiana,75
Michigan,74
Montana,72
Kansas,71
New Hampshire,71
Oregon,71
New Mexico,70
North Carolina,70
Texas,70
Nebraska,70
Nevada,68
Illinois,68
Maine,68
Pennsylvania,68
Florida,68
Idaho,67
Iowa,67
Rhode Island,67
Utah,66
Virginia,65
Arizona,65
Maryland,65
New Jersey,65
Wisconsin,65
Minnesota,63
South Dakota,63
California,63
Wyoming,62
Alaska,62
New York,62
Connecticut,62
North Dakota,60
Washington,60
Massachusetts,59
Colorado,59
Hawaii,59
Vermont,56
District of Columbia,51
