Category: All categories

Region,lesbian: (2021)
West Virginia,100
Mississippi,97
Arkansas,97
Louisiana,97
Alabama,97
Oklahoma,95
Michigan,95
Kentucky,94
New Jersey,93
Tennessee,93
Missouri,92
Maine,90
Pennsylvania,89
Georgia,88
South Carolina,87
Indiana,87
Ohio,87
Massachusetts,85
Nevada,85
Illinois,84
North Carolina,84
Oregon,84
New Hampshire,84
Iowa,83
Rhode Island,83
Connecticut,82
Virginia,82
Wisconsin,82
Washington,81
Florida,80
Delaware,80
Arizona,79
Texas,78
Maryland,78
California,78
Vermont,77
Alaska,77
Minnesota,77
Kansas,77
Wyoming,76
Nebraska,75
Colorado,74
Utah,74
New York,73
Hawaii,71
South Dakota,69
Idaho,68
New Mexico,68
North Dakota,66
Montana,65
District of Columbia,54
