Category: All categories

Region,sexual abuse: (2013)
Alaska,100
Iowa,76
West Virginia,71
Idaho,69
Vermont,67
Kentucky,66
Maine,63
Wyoming,62
North Dakota,59
Arkansas,57
South Dakota,57
Alabama,55
New Hampshire,54
New Mexico,54
Nebraska,54
Utah,53
Hawaii,50
Kansas,49
Tennessee,49
Wisconsin,48
Minnesota,48
Pennsylvania,47
Maryland,47
Missouri,46
Delaware,46
Colorado,45
Washington,45
Rhode Island,45
Oklahoma,45
South Carolina,44
Mississippi,44
North Carolina,44
Illinois,43
Indiana,43
Virginia,42
Montana,41
District of Columbia,40
Ohio,40
Georgia,40
Connecticut,39
Michigan,39
Massachusetts,39
New Jersey,39
New York,39
Arizona,38
Oregon,38
Louisiana,37
California,37
Florida,33
Texas,32
Nevada,32
