Category: All categories

Region,sexual abuse: (2014)
Alaska,100
Iowa,83
West Virginia,81
Vermont,72
Utah,63
Alabama,62
Maine,60
Kentucky,59
South Dakota,58
District of Columbia,58
North Dakota,57
Idaho,57
Wyoming,54
Rhode Island,54
Minnesota,53
Arkansas,53
Delaware,51
Tennessee,50
Hawaii,49
Mississippi,48
Missouri,48
Illinois,46
Pennsylvania,46
South Carolina,46
Kansas,46
Arizona,45
Montana,45
North Carolina,45
Wisconsin,44
New Hampshire,44
Indiana,44
Nebraska,43
Maryland,43
Connecticut,42
New Mexico,42
Colorado,41
Massachusetts,41
Washington,40
Oklahoma,39
Michigan,38
Louisiana,38
Georgia,38
Ohio,37
New York,37
Nevada,36
New Jersey,35
California,34
Oregon,34
Virginia,33
Texas,33
Florida,33
