Category: All categories

Region,sexual abuse: (2012)
Wyoming,100
Iowa,96
Vermont,93
Alaska,88
West Virginia,80
Kentucky,66
New Mexico,63
Utah,63
South Carolina,63
Oregon,61
Arkansas,61
South Dakota,61
Maine,60
Idaho,60
Rhode Island,60
Delaware,60
Alabama,60
New Hampshire,60
Nebraska,60
Kansas,58
Montana,57
Pennsylvania,57
Missouri,54
Wisconsin,54
Minnesota,53
Tennessee,53
Maryland,52
District of Columbia,50
Hawaii,50
North Dakota,50
Virginia,49
Illinois,49
Washington,48
North Carolina,48
Arizona,48
Massachusetts,48
Mississippi,47
New Jersey,47
Connecticut,46
Oklahoma,46
Indiana,45
Colorado,45
Louisiana,45
Ohio,45
Michigan,45
New York,42
Georgia,40
Nevada,38
Florida,38
California,36
Texas,36
