Category: All categories

Region,sexual abuse: (2017)
Iowa,100
West Virginia,91
Kentucky,80
Maine,75
Utah,73
Oregon,72
Alaska,71
Vermont,64
Rhode Island,63
Wyoming,63
Delaware,62
Alabama,62
Nebraska,62
Idaho,62
Arkansas,59
Missouri,59
Montana,58
District of Columbia,57
Maryland,57
Minnesota,57
New Mexico,57
Oklahoma,56
Illinois,55
New Hampshire,54
Washington,54
Kansas,53
New York,52
Tennessee,51
Indiana,51
Connecticut,51
Virginia,51
Pennsylvania,51
South Dakota,50
Massachusetts,50
Louisiana,50
Colorado,50
Wisconsin,50
Mississippi,50
Arizona,48
North Carolina,48
New Jersey,48
North Dakota,48
Michigan,47
Ohio,47
South Carolina,47
Nevada,45
California,45
Texas,44
Georgia,40
Hawaii,39
Florida,37
