Category: All categories

Region,sexual abuse: (2020)
West Virginia,100
Iowa,99
Kentucky,88
Utah,82
Alaska,81
District of Columbia,80
Vermont,74
Oregon,73
Maine,69
Wyoming,69
Idaho,68
Alabama,67
Maryland,67
Arkansas,66
New York,66
South Dakota,66
New Mexico,65
North Dakota,65
Delaware,63
Hawaii,63
Missouri,63
Louisiana,62
Kansas,61
Minnesota,61
California,60
Oklahoma,60
Nebraska,60
Washington,60
Illinois,60
Virginia,60
Connecticut,59
Massachusetts,58
Montana,57
Nevada,57
South Carolina,57
Michigan,57
Indiana,57
North Carolina,56
Tennessee,55
Pennsylvania,55
Texas,55
Arizona,54
New Jersey,54
Wisconsin,54
Mississippi,53
Colorado,52
Rhode Island,52
Georgia,51
Ohio,51
New Hampshire,47
Florida,44
