Category: All categories

Region,sexual abuse: (2021)
Alaska,100
Iowa,90
West Virginia,89
Vermont,88
Wyoming,85
Kentucky,82
District of Columbia,74
Oregon,72
Montana,71
Utah,69
Oklahoma,65
New Hampshire,65
Maine,61
New Mexico,61
Alabama,61
Illinois,61
Nebraska,60
Maryland,60
Kansas,59
North Dakota,58
Washington,58
Missouri,58
Connecticut,57
Arkansas,57
Idaho,56
New York,55
Indiana,55
Delaware,54
California,54
Mississippi,53
Minnesota,53
Massachusetts,53
Rhode Island,53
North Carolina,52
South Carolina,52
Louisiana,52
Pennsylvania,52
Virginia,51
Colorado,51
Tennessee,50
Arizona,50
Michigan,49
South Dakota,48
New Jersey,48
Georgia,48
Ohio,47
Wisconsin,47
Hawaii,46
Texas,46
Nevada,45
Florida,41
