Category: All categories

Region,sexual abuse: (2008)
Vermont,100
Alaska,75
Iowa,73
Idaho,69
Arkansas,63
Delaware,59
Wyoming,58
Maine,58
Oregon,56
Indiana,52
Alabama,51
West Virginia,51
Illinois,50
South Dakota,50
Kansas,49
Kentucky,49
Wisconsin,49
Utah,48
Tennessee,48
Louisiana,48
North Dakota,47
South Carolina,47
Missouri,46
Nebraska,46
Mississippi,45
Oklahoma,45
Colorado,45
North Carolina,44
Massachusetts,44
Minnesota,44
Pennsylvania,44
New Mexico,43
Maryland,42
Michigan,41
Rhode Island,40
Montana,40
Ohio,40
New York,37
New Hampshire,37
Washington,37
Florida,36
Texas,35
New Jersey,35
District of Columbia,34
Georgia,34
Connecticut,34
Hawaii,34
Nevada,33
Arizona,32
California,28
Virginia,26
