Category: All categories

Region,moving: (2015)
Colorado,100
Connecticut,96
New Jersey,93
Alaska,92
Washington,92
New York,92
Massachusetts,91
North Carolina,91
Arizona,91
Maryland,90
Illinois,89
Vermont,89
District of Columbia,87
Ohio,87
Pennsylvania,87
Utah,87
Florida,87
Indiana,86
New Hampshire,86
Arkansas,86
Minnesota,86
Tennessee,85
Nevada,84
Missouri,84
California,84
Delaware,83
Hawaii,83
South Carolina,83
Texas,82
Montana,82
Oklahoma,82
Nebraska,82
Georgia,81
Wyoming,81
North Dakota,81
South Dakota,80
Michigan,80
Rhode Island,80
Wisconsin,80
Idaho,80
Iowa,79
Alabama,79
Kentucky,77
Mississippi,75
Maine,75
Louisiana,74
New Mexico,73
Kansas,70
Oregon,70
West Virginia,70
Virginia,66
