Category: All categories

Region,moving: (2009)
New York,100
Massachusetts,99
Missouri,98
Colorado,98
Alaska,96
Arizona,95
New Hampshire,94
Maryland,94
Nevada,92
District of Columbia,91
Georgia,89
Texas,89
Delaware,89
Rhode Island,89
Illinois,88
North Carolina,87
Florida,86
New Jersey,86
New Mexico,86
Michigan,86
Wyoming,86
Washington,85
Mississippi,84
Pennsylvania,84
Ohio,82
Hawaii,82
North Dakota,82
Kansas,81
Oregon,81
Connecticut,81
Utah,80
South Dakota,80
Maine,79
Nebraska,79
South Carolina,79
Arkansas,79
Minnesota,79
Montana,79
Iowa,78
Idaho,78
Vermont,77
Louisiana,77
Wisconsin,77
Tennessee,76
Alabama,76
Indiana,73
Kentucky,73
Oklahoma,72
West Virginia,68
California,67
Virginia,52
