Category: All categories

Region,moving: (2008)
Arizona,100
Washington,99
Nevada,97
District of Columbia,94
Georgia,94
North Carolina,93
Alaska,92
Florida,92
Texas,91
New Jersey,91
Massachusetts,90
New York,89
Hawaii,89
Maryland,89
Missouri,87
Colorado,85
New Mexico,85
Illinois,84
Delaware,84
Vermont,84
Michigan,83
Idaho,83
Oregon,83
Kansas,82
Maine,81
New Hampshire,81
Mississippi,81
South Dakota,81
Pennsylvania,80
California,80
South Carolina,80
Ohio,79
Minnesota,79
Wyoming,79
Arkansas,79
Utah,78
Rhode Island,77
Iowa,77
North Dakota,77
Oklahoma,76
Alabama,76
Connecticut,76
Kentucky,76
Louisiana,76
Nebraska,74
Indiana,73
Wisconsin,73
West Virginia,72
Tennessee,70
Montana,67
Virginia,64
