Category: All categories

Region,moving: (2014)
Indiana,100
Colorado,98
Massachusetts,97
Washington,93
South Carolina,92
New York,92
Maryland,91
Wyoming,91
South Dakota,91
Arizona,91
Utah,91
Nevada,90
Illinois,90
North Carolina,90
New Jersey,89
Alaska,89
Florida,88
Connecticut,88
Tennessee,87
District of Columbia,86
Missouri,86
Wisconsin,86
Hawaii,86
Michigan,85
Texas,85
Alabama,85
Arkansas,85
Vermont,84
Idaho,84
Ohio,84
North Dakota,83
Delaware,83
Nebraska,82
Minnesota,82
Pennsylvania,82
New Mexico,81
California,81
Kentucky,81
Iowa,81
Montana,81
New Hampshire,80
Georgia,80
Oklahoma,77
Maine,76
Kansas,76
Rhode Island,75
Virginia,74
Louisiana,73
Mississippi,73
West Virginia,69
Oregon,61
