Category: All categories

Region,moving: (2021)
Kansas,100
District of Columbia,95
Colorado,92
Nevada,87
Arizona,85
Virginia,84
Washington,83
Texas,82
Florida,82
New York,81
Oregon,81
North Carolina,81
Maryland,80
South Carolina,79
California,79
Utah,78
Connecticut,77
Georgia,77
Kentucky,76
Tennessee,76
Idaho,76
Massachusetts,76
Louisiana,75
Missouri,75
New Mexico,75
Illinois,75
Delaware,74
Hawaii,74
Ohio,74
Minnesota,74
Rhode Island,72
Nebraska,72
Oklahoma,72
Arkansas,71
New Jersey,71
Pennsylvania,71
Alaska,70
Wisconsin,70
Alabama,70
Wyoming,69
Michigan,68
Indiana,68
Montana,66
Maine,66
Mississippi,66
Vermont,65
West Virginia,64
North Dakota,64
New Hampshire,63
Iowa,62
South Dakota,58
