Category: All categories

Region,moving: (2011)
Colorado,100
New Jersey,99
North Carolina,97
Arizona,96
Virginia,96
Washington,95
New York,94
Ohio,93
Nevada,93
Kansas,93
Connecticut,93
Maryland,93
Alaska,92
Pennsylvania,92
Massachusetts,92
Florida,91
South Carolina,89
Oregon,89
Georgia,89
Missouri,89
Illinois,88
Delaware,87
Michigan,87
Texas,87
District of Columbia,87
Alabama,87
Vermont,87
Kentucky,87
Rhode Island,86
New Hampshire,86
Indiana,86
Tennessee,86
Montana,86
Wisconsin,85
Wyoming,85
Utah,84
Oklahoma,84
New Mexico,84
North Dakota,83
Minnesota,83
California,83
West Virginia,82
Louisiana,81
Hawaii,81
Idaho,80
South Dakota,80
Arkansas,79
Maine,78
Iowa,77
Nebraska,74
Mississippi,69
