Category: All categories

Region,Dependent personality: (2014)
South Dakota,
Arkansas,
Maryland,100
Rhode Island,
Alaska,
Ohio,93
Indiana,93
North Dakota,
Connecticut,86
Kentucky,80
Montana,
Minnesota,80
Oklahoma,
Tennessee,80
South Carolina,73
Kansas,
Massachusetts,73
Illinois,66
North Carolina,66
Michigan,60
New Mexico,
Missouri,60
Idaho,
Hawaii,
California,53
Colorado,53
Florida,53
Texas,53
Utah,
West Virginia,
Georgia,53
Oregon,
Pennsylvania,46
Wisconsin,46
New York,46
Washington,46
New Jersey,46
Delaware,
Alabama,
Louisiana,40
Arizona,40
Virginia,40
New Hampshire,
Iowa,
Nebraska,
Nevada,
District of Columbia,
Mississippi,
Maine,
Vermont,
Wyoming,
