Category: All categories

Region,Dependent personality: (2013)
Alaska,
Vermont,
Maine,
Wyoming,
North Dakota,
Hawaii,
Idaho,
Delaware,
Utah,
West Virginia,
Louisiana,100
Connecticut,93
Mississippi,
Arkansas,
New Mexico,
Ohio,86
Alabama,
Virginia,80
Maryland,80
Indiana,73
Colorado,73
Washington,73
Kansas,
Michigan,66
Minnesota,66
Illinois,66
Massachusetts,66
Rhode Island,
North Carolina,60
Montana,
Tennessee,60
New York,60
Pennsylvania,60
Florida,60
New Jersey,53
California,53
Kentucky,53
Missouri,53
Georgia,46
Wisconsin,46
Oklahoma,
South Carolina,46
Arizona,40
Texas,26
District of Columbia,
Oregon,
Iowa,
Nebraska,
New Hampshire,
Nevada,
South Dakota,
