Category: All categories

Region,feeling sad: (2010)
Nebraska,100
Idaho,68
Hawaii,65
Iowa,53
Kansas,46
Nevada,45
Arkansas,44
Pennsylvania,44
Louisiana,44
Ohio,42
New York,38
Illinois,36
Michigan,36
New Jersey,35
Massachusetts,35
Oregon,34
Indiana,34
Arizona,32
Alabama,28
Florida,27
Washington,26
Texas,26
Tennessee,25
California,24
Virginia,24
Georgia,23
Connecticut,23
Minnesota,23
Missouri,23
Oklahoma,21
South Carolina,21
Colorado,14
North Carolina,13
District of Columbia,10
Maryland,10
Delaware,
Rhode Island,
Alaska,
New Hampshire,
Mississippi,
New Mexico,
South Dakota,
North Dakota,
Montana,
Utah,
Maine,
Vermont,
Kentucky,
Wisconsin,
West Virginia,
Wyoming,
