Category: All categories

Region,feeling sad: (2013)
New Mexico,100
Nebraska,95
Mississippi,88
Idaho,83
New York,77
Iowa,74
Illinois,74
Nevada,73
South Carolina,72
Hawaii,71
Washington,71
New Jersey,70
Oklahoma,70
Arkansas,70
Arizona,69
California,68
Michigan,68
Florida,67
Connecticut,67
Louisiana,67
Wisconsin,65
Texas,65
Utah,62
Pennsylvania,61
Virginia,61
Massachusetts,60
Missouri,58
Minnesota,58
Maryland,58
North Carolina,56
Oregon,55
Ohio,54
Colorado,54
Tennessee,53
Georgia,51
Indiana,45
Kentucky,44
Alabama,41
District of Columbia,37
Kansas,11
South Dakota,
Montana,
Alaska,
New Hampshire,
West Virginia,
Rhode Island,
Wyoming,
Delaware,
North Dakota,
Maine,
Vermont,
