Category: All categories

Region,feeling sad: (2017)
Nevada,100
Kansas,96
New Jersey,90
Utah,90
California,89
Pennsylvania,88
Connecticut,88
Oklahoma,85
Texas,84
Arizona,83
New York,83
Indiana,82
Louisiana,82
Minnesota,81
District of Columbia,77
Iowa,76
Kentucky,76
Virginia,76
Massachusetts,75
South Carolina,75
Oregon,74
Washington,72
Nebraska,72
Hawaii,72
Ohio,72
Wisconsin,72
North Carolina,71
Georgia,71
Illinois,71
Florida,71
Michigan,70
Maryland,70
Colorado,69
New Mexico,69
Alabama,63
Missouri,62
Idaho,62
Arkansas,55
Tennessee,53
Mississippi,49
North Dakota,
Vermont,
Delaware,
Alaska,
West Virginia,
Wyoming,
Rhode Island,
Maine,
Montana,
South Dakota,
New Hampshire,
