Category: All categories

Region,feeling sad: (2020)
California,100
Hawaii,98
Arizona,97
Kansas,97
Texas,96
New Jersey,95
Nevada,94
Maryland,93
New Mexico,92
Arkansas,91
Connecticut,89
Idaho,88
Washington,88
Illinois,88
Ohio,84
Oklahoma,84
Massachusetts,84
Indiana,83
Wisconsin,83
New York,83
Colorado,82
Missouri,81
Utah,81
Pennsylvania,81
Michigan,81
Georgia,80
Oregon,79
Minnesota,79
Virginia,78
Florida,78
Kentucky,75
Tennessee,74
District of Columbia,74
Mississippi,73
North Carolina,71
South Carolina,70
Iowa,68
Louisiana,65
Nebraska,61
Alabama,55
Rhode Island,
Wyoming,
North Dakota,
South Dakota,
Vermont,
Alaska,
Delaware,
Montana,
Maine,
New Hampshire,
West Virginia,
