Category: All categories

Region,feeling sad: (2011)
New Mexico,100
Kentucky,96
Alabama,84
Hawaii,84
Idaho,82
Pennsylvania,81
Nevada,80
South Carolina,73
Oklahoma,73
Oregon,72
Massachusetts,72
Mississippi,70
New York,70
Utah,67
Wisconsin,64
New Jersey,62
Ohio,59
Colorado,59
Iowa,58
Kansas,57
California,56
Texas,55
Florida,54
Virginia,54
Tennessee,53
District of Columbia,51
Minnesota,51
Connecticut,50
Louisiana,48
Illinois,48
Georgia,47
Maryland,43
North Carolina,43
Indiana,39
Arizona,38
Nebraska,38
Missouri,36
Michigan,31
Washington,31
South Dakota,
Vermont,
New Hampshire,
Maine,
West Virginia,
Rhode Island,
Alaska,
North Dakota,
Montana,
Delaware,
Arkansas,
Wyoming,
