Category: All categories

Region,feeling sad: (2006)
Mississippi,100
Nevada,41
Iowa,27
New Jersey,22
Nebraska,20
Oklahoma,18
Georgia,18
Connecticut,17
Louisiana,16
Missouri,16
Ohio,16
Maryland,13
District of Columbia,12
Pennsylvania,11
Wisconsin,9
Texas,9
Minnesota,8
Oregon,7
Washington,7
Virginia,7
Colorado,7
Tennessee,7
Illinois,6
Massachusetts,6
New York,6
California,5
Michigan,4
North Carolina,4
Florida,2
Alaska,
Montana,
Vermont,
Arkansas,
New Mexico,
New Hampshire,
North Dakota,
Alabama,
Maine,
Kentucky,
Rhode Island,
South Carolina,
South Dakota,
Kansas,
Indiana,
Utah,
Idaho,
Hawaii,
Delaware,
Arizona,
West Virginia,
Wyoming,
