Category: All categories

Region,feeling sad: (2016)
Hawaii,100
Idaho,99
Kansas,90
New Mexico,86
Nevada,77
Pennsylvania,76
Massachusetts,73
California,73
Indiana,72
Arizona,70
Washington,67
Oklahoma,66
Texas,65
District of Columbia,65
Ohio,64
Connecticut,64
New York,62
Tennessee,62
Arkansas,60
New Jersey,60
Maryland,59
Michigan,58
Illinois,58
Iowa,58
Alabama,58
Minnesota,57
Missouri,55
Georgia,55
North Carolina,55
Mississippi,54
Kentucky,54
Wisconsin,53
Oregon,53
Nebraska,49
Florida,49
Virginia,46
Utah,42
Louisiana,41
Colorado,40
South Carolina,26
West Virginia,
Rhode Island,
Montana,
South Dakota,
Alaska,
New Hampshire,
Maine,
Delaware,
North Dakota,
Vermont,
Wyoming,
