Category: All categories

Region,Narcissistic personality: (2012)
Wyoming,100
Maine,97
Rhode Island,97
Vermont,93
Delaware,89
Oregon,87
New Mexico,85
South Dakota,83
Montana,77
Maryland,76
Idaho,75
Minnesota,74
Colorado,74
North Carolina,73
Tennessee,73
New Hampshire,72
Washington,71
Massachusetts,70
Virginia,69
Utah,68
Wisconsin,68
Oklahoma,68
Pennsylvania,68
Indiana,67
West Virginia,66
Hawaii,65
Arkansas,65
Connecticut,65
Ohio,64
Alabama,63
Michigan,62
District of Columbia,62
Missouri,62
Louisiana,62
Georgia,59
Kansas,59
Kentucky,58
Illinois,58
New Jersey,58
Arizona,56
Florida,56
New York,55
South Carolina,54
Alaska,54
California,54
Nevada,53
Mississippi,51
Texas,51
Iowa,50
North Dakota,46
Nebraska,45
