Category: All categories

Region,Narcissistic personality: (2011)
Maine,100
Mississippi,96
Delaware,91
Rhode Island,89
Alaska,89
Wyoming,88
Utah,87
Vermont,87
Colorado,86
Tennessee,85
Alabama,84
Ohio,83
New Hampshire,83
Oregon,82
New Mexico,81
Washington,80
Connecticut,80
Louisiana,79
Indiana,79
Michigan,78
Arkansas,76
South Carolina,76
Wisconsin,76
Massachusetts,75
North Carolina,75
Minnesota,75
Missouri,74
Maryland,74
Pennsylvania,73
Kansas,72
West Virginia,72
North Dakota,72
Kentucky,71
District of Columbia,71
New Jersey,71
South Dakota,70
Arizona,69
Virginia,69
Hawaii,69
Illinois,67
Oklahoma,66
Nebraska,66
Georgia,66
Texas,64
Nevada,64
New York,62
Florida,61
California,58
Iowa,57
Montana,53
Idaho,46
