Category: All categories

Region,Narcissistic personality disorder: (2018)
Maine,100
Vermont,76
Wyoming,75
New Hampshire,75
Oregon,71
Utah,69
Idaho,68
Massachusetts,68
Minnesota,68
Kansas,67
Arkansas,66
Alaska,66
Tennessee,66
Washington,66
Louisiana,64
Connecticut,64
Pennsylvania,64
Michigan,62
Virginia,62
Colorado,62
Delaware,61
Maryland,60
South Carolina,60
North Carolina,60
South Dakota,58
Indiana,58
Rhode Island,58
Missouri,57
Hawaii,57
New York,57
Nevada,57
Alabama,56
Arizona,56
West Virginia,56
Mississippi,56
Wisconsin,56
District of Columbia,55
Iowa,55
Ohio,53
Florida,53
Oklahoma,53
Kentucky,53
Illinois,52
New Jersey,52
New Mexico,51
Montana,50
North Dakota,49
Georgia,49
California,48
Texas,48
Nebraska,47
