Category: All categories

Region,Narcissistic personality disorder: (2007)
Kentucky,100
Rhode Island,93
Maine,90
Nebraska,87
Wyoming,86
Colorado,84
Idaho,79
Alaska,76
Vermont,73
North Dakota,69
Minnesota,67
North Carolina,67
Utah,63
Missouri,61
Georgia,60
Ohio,60
New York,60
New Hampshire,57
Oregon,57
Washington,56
South Carolina,56
Alabama,54
Wisconsin,54
Texas,53
Montana,52
Illinois,50
California,47
Connecticut,47
Iowa,46
Kansas,46
Massachusetts,46
Indiana,45
District of Columbia,45
Pennsylvania,45
Nevada,45
Michigan,43
Virginia,43
Maryland,43
Oklahoma,42
New Mexico,42
Arizona,42
Florida,41
Mississippi,39
New Jersey,36
Tennessee,36
Arkansas,36
Louisiana,26
Hawaii,19
Delaware,
South Dakota,
West Virginia,
