Category: All categories

Region,Narcissistic personality disorder: (2008)
Utah,100
Delaware,95
Maryland,92
Vermont,90
New Mexico,88
District of Columbia,88
Kentucky,85
New Hampshire,80
Oregon,79
Minnesota,77
Rhode Island,77
Connecticut,77
Illinois,76
Wisconsin,76
Pennsylvania,76
Ohio,76
Massachusetts,74
Missouri,74
South Carolina,74
Arkansas,74
Oklahoma,73
Mississippi,73
Indiana,69
Colorado,69
Arizona,69
North Carolina,69
Louisiana,69
Washington,66
Georgia,65
Alabama,65
South Dakota,65
Tennessee,63
Wyoming,61
New Jersey,61
Nebraska,60
Texas,60
Iowa,58
New York,58
Maine,58
Michigan,58
Nevada,55
Florida,55
North Dakota,50
Idaho,50
Kansas,49
California,49
Virginia,47
Montana,47
Alaska,
Hawaii,
West Virginia,
