Category: All categories

Region,Narcissistic personality disorder: (2019)
Maine,100
West Virginia,86
Connecticut,81
Vermont,81
Idaho,80
New Hampshire,80
Rhode Island,79
Arkansas,75
North Dakota,74
Oregon,73
Alabama,72
Kansas,72
Mississippi,72
Delaware,71
Massachusetts,71
Utah,67
Minnesota,67
Iowa,67
Kentucky,66
Washington,66
Colorado,65
Maryland,65
Wisconsin,65
Michigan,64
Indiana,64
South Carolina,64
Montana,63
North Carolina,63
Tennessee,63
New Mexico,63
Missouri,63
Louisiana,62
Arizona,62
Virginia,60
District of Columbia,59
Oklahoma,59
Pennsylvania,58
New York,58
Ohio,58
Hawaii,57
Georgia,56
Florida,56
New Jersey,55
Nebraska,54
Illinois,52
Texas,51
California,48
Alaska,47
Nevada,45
South Dakota,42
Wyoming,37
