Category: All categories

Region,Narcissistic personality disorder: (2009)
Wyoming,100
Alaska,81
Maine,78
Utah,77
Connecticut,68
Maryland,65
Rhode Island,64
Idaho,63
Missouri,62
Indiana,62
Oklahoma,61
Tennessee,58
Oregon,58
Arizona,58
New Mexico,55
Kentucky,55
Nevada,54
Mississippi,52
South Carolina,51
North Carolina,51
Kansas,51
District of Columbia,50
Ohio,50
Massachusetts,50
Colorado,49
Minnesota,49
New Jersey,48
Michigan,48
New York,48
Florida,48
Illinois,48
Texas,47
Georgia,47
Alabama,47
Washington,45
Vermont,44
Pennsylvania,43
Arkansas,42
Wisconsin,42
North Dakota,41
Louisiana,38
Iowa,35
New Hampshire,35
Delaware,34
West Virginia,31
California,31
Nebraska,30
Virginia,26
South Dakota,23
Montana,18
Hawaii,15
