Category: All categories

Region,Narcissistic personality disorder: (2013)
Vermont,100
West Virginia,97
New Hampshire,85
Maine,84
Montana,84
South Dakota,81
Rhode Island,80
Colorado,79
Arkansas,79
Washington,76
Idaho,74
Delaware,72
District of Columbia,71
New Mexico,71
Tennessee,71
Maryland,70
Connecticut,70
Virginia,69
North Carolina,69
South Carolina,69
Massachusetts,69
Louisiana,69
Wyoming,69
Minnesota,69
Kentucky,68
North Dakota,68
Pennsylvania,67
Hawaii,66
Michigan,66
Missouri,65
Indiana,64
Nebraska,63
Alaska,63
Iowa,63
Wisconsin,62
Ohio,61
New Jersey,61
Georgia,60
Kansas,60
Oklahoma,59
Utah,58
Florida,58
Alabama,57
Arizona,57
New York,57
Illinois,56
Mississippi,52
California,51
Texas,50
Nevada,48
Oregon,48
