Category: All categories

Region,Coping with stress: (2016)
West Virginia,100
New Mexico,74
Arkansas,68
Kansas,62
Mississippi,59
Iowa,56
Oregon,52
Missouri,50
Wisconsin,45
South Carolina,45
Michigan,44
Indiana,43
Oklahoma,42
Connecticut,40
North Carolina,40
Florida,38
Nebraska,37
Arizona,37
Louisiana,36
New Jersey,35
Georgia,34
Virginia,34
Maryland,33
Ohio,31
Kentucky,31
California,30
Illinois,30
Massachusetts,29
Pennsylvania,29
Utah,29
New York,28
Colorado,28
Texas,28
Alabama,27
Washington,24
Minnesota,23
Tennessee,22
Nevada,17
South Dakota,
Montana,
Idaho,
Maine,
New Hampshire,
Hawaii,
District of Columbia,
Alaska,
Vermont,
Rhode Island,
North Dakota,
Delaware,
Wyoming,
