Category: All categories

Region,Coping with stress: (2011)
New Mexico,100
Mississippi,88
Kansas,77
West Virginia,75
Nebraska,68
Kentucky,68
Connecticut,60
Arkansas,58
Oregon,57
Oklahoma,54
Minnesota,53
Indiana,52
Michigan,51
Utah,50
Pennsylvania,49
Ohio,47
Louisiana,46
Florida,43
North Carolina,43
Maryland,42
New Jersey,42
Colorado,42
Nevada,41
Georgia,41
Missouri,41
Arizona,38
Virginia,38
Wisconsin,38
Alabama,37
New York,34
Tennessee,33
Illinois,32
South Carolina,31
Washington,31
Massachusetts,29
California,28
Texas,27
Wyoming,
North Dakota,
New Hampshire,
Delaware,
Maine,
Rhode Island,
Hawaii,
District of Columbia,
South Dakota,
Montana,
Vermont,
Idaho,
Iowa,
Alaska,
